time,Experiment,ESM,Source,burntFractionAll,grid_area,BA_area_pred
2002-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,63.639748,510017987.8256495,336.09691565097796
2003-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,74.18926,510017987.8256495,394.7142580249182
2004-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,87.13593,510017987.8256495,468.71852546083966
2005-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,75.018326,510017987.8256495,400.7704486046518
2006-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,76.57472,510017987.8256495,408.95039912811205
2007-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,73.26086,510017987.8256495,387.47604098739635
2008-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,85.22759,510017987.8256495,454.2488868923493
2009-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,76.57477,510017987.8256495,411.3918237991058
2010-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,94.004036,510017987.8256495,501.9190649387712
2011-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,84.327255,510017987.8256495,453.43549776472037
2012-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,72.702805,510017987.8256495,386.67294884624636
2013-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,75.74616,510017987.8256495,410.15735165384734
2014-12-31,historical,NorESM2-LM,historical (CMIP6) - NorESM2-LM,80.92247,510017987.8256495,430.1363341506904
2015-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,330.35052,510051523.1101868,434.0412681819579
2016-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,345.37042,510051523.1101868,461.57104409268635
2017-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,348.12506,510051523.1101868,458.9168319763845
2018-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,391.04858,510051523.1101868,518.6364833789146
2019-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,402.0139,510051523.1101868,532.6715438497354
2020-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,358.41245,510051523.1101868,476.05495269893555
2021-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,381.33072,510051523.1101868,507.35442184929275
2022-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,383.77582,510051523.1101868,507.49179938906065
2023-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,452.6221,510051523.1101868,597.6688329585596
2024-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,343.22183,510051523.1101868,457.26597757392125
2025-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,322.19904,510051523.1101868,418.682035783197
2026-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,426.92798,510051523.1101868,559.6590190435433
2027-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,330.3175,510051523.1101868,434.73209703418723
2028-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,409.29272,510051523.1101868,532.0402762997418
2029-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,417.1778,510051523.1101868,548.3110547186167
2030-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,367.37698,510051523.1101868,490.6162939576453
2031-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,383.7372,510051523.1101868,506.8753070004469
2032-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,369.97638,510051523.1101868,482.3040431447537
2033-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,408.3499,510051523.1101868,543.1999766726142
2034-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,348.33493,510051523.1101868,464.92833904377954
2035-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,374.99808,510051523.1101868,486.4820479864233
2036-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,359.56906,510051523.1101868,473.19355038658205
2037-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,468.84515,510051523.1101868,609.2025925300401
2038-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,441.33417,510051523.1101868,584.3997130856771
2039-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,387.5244,510051523.1101868,510.88643297679664
2040-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,432.11548,510051523.1101868,575.5726815916471
2041-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,396.59653,510051523.1101868,516.2307388591721
2042-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,375.7807,510051523.1101868,497.0134154191539
2043-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,376.35052,510051523.1101868,489.74400770812355
2044-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,369.0217,510051523.1101868,488.5146462833807
2045-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,365.7695,510051523.1101868,477.3984316515338
2046-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,378.18625,510051523.1101868,494.96926342547914
2047-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,435.5004,510051523.1101868,562.9112731935796
2048-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,367.59152,510051523.1101868,485.0552600637884
2049-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,363.85895,510051523.1101868,474.2936922893472
2050-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,396.3129,510051523.1101868,516.8103136232586
2051-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,439.82062,510051523.1101868,571.8762460152946
2052-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,365.62494,510051523.1101868,480.35127831141716
2053-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,376.97073,510051523.1101868,483.3846890683165
2054-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,384.09177,510051523.1101868,493.8177369628235
2055-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,344.0964,510051523.1101868,445.2115431192205
2056-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,406.17072,510051523.1101868,532.6084626716628
2057-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,356.61646,510051523.1101868,461.02857432503566
2058-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,414.74353,510051523.1101868,536.9845637645996
2059-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,403.49225,510051523.1101868,525.3468061570326
2060-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,443.3316,510051523.1101868,572.1828507902455
2061-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,374.6904,510051523.1101868,483.88987397606223
2062-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,439.99146,510051523.1101868,569.9411866486345
2063-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,382.2211,510051523.1101868,483.6958467599911
2064-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,384.72775,510051523.1101868,494.4842088661625
2065-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,405.64185,510051523.1101868,529.987438242965
2066-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,399.5655,510051523.1101868,523.7133446352966
2067-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,433.53195,510051523.1101868,569.4793887756948
2068-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,404.2473,510051523.1101868,529.2484170664728
2069-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,453.32693,510051523.1101868,588.9790176521029
2070-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,416.5588,510051523.1101868,537.3326909658596
2071-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,388.35556,510051523.1101868,511.9814814812567
2072-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,372.32697,510051523.1101868,486.4692220334149
2073-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,481.0528,510051523.1101868,614.7723917983747
2074-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,392.27618,510051523.1101868,508.4815919708275
2075-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,432.94278,510051523.1101868,558.7632476441969
2076-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,430.13943,510051523.1101868,559.2308619791767
2077-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,395.2469,510051523.1101868,508.61284639133476
2078-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,405.2253,510051523.1101868,527.3169203167027
2079-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,343.44955,510051523.1101868,446.3398756390444
2080-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,410.74637,510051523.1101868,535.0377471278263
2081-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,357.40732,510051523.1101868,463.4351478529292
2082-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,430.8879,510051523.1101868,562.5529376053498
2083-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,451.58325,510051523.1101868,589.6064053600719
2084-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,447.85358,510051523.1101868,578.7066586292591
2085-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,422.96384,510051523.1101868,547.7003315724587
2086-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,419.71524,510051523.1101868,546.4157260677146
