time,Fire Model,Experiment,ESM,Source,BA_area_pred
1925-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,520.754927059621
1926-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,563.2253230329268
1927-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,495.08203502885084
1928-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,542.9079264514628
1929-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.64488402231785
1930-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,525.5414112049901
1931-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.1762138189418
1932-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,523.3690899719444
1933-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,562.1793754259011
1934-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,553.7545204351219
1935-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,502.09608307100575
1936-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,539.0234065929212
1937-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,535.2439718641326
1938-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,542.7743036328707
1939-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,574.1227514474174
1940-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,556.9598131570757
1941-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,520.8878200799187
1942-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,559.1665162957221
1943-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,501.9379728076551
1944-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,542.8974179712222
1945-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,486.0332242242057
1946-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,540.9755446680657
1947-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,546.7936022593046
1948-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,538.1811889272982
1949-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,540.4352084250412
1950-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,533.2747549168602
1951-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,533.3289913379361
1952-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,498.1598103752271
1953-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,563.3567457376256
1954-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,506.11230940123784
1955-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,531.3213287878212
1956-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,564.7421461269033
1957-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,556.0010903651219
1958-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,545.627464925849
1959-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,575.5233687321567
1960-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,528.2497513954112
1961-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,518.9315780509418
1962-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,544.8177768916688
1963-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,546.0038674498138
1964-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,510.79801295966354
1965-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,547.1853755519924
1966-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,537.130926949532
1967-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,566.4275243662576
1968-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,525.210008325252
1969-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,545.2020288691673
1970-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,544.376816352433
1971-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,519.298531988826
1972-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,484.96706093334114
1973-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,510.1650312753764
1974-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,533.6977297659715
1975-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,568.7372952833801
1976-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,520.278542651444
1977-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,498.1082772352169
1978-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,603.378788664509
1979-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,542.0659884761318
1980-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,493.5570537187505
1981-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,517.745577177522
